browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,contract_o0_pass,contract_o1_pass,contract_o1k_pass,contract_o2_pass,contract_failure_codes,contract_check_ms,receiver_trace_phases,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
webkit,26.5,500,5,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,5.419500000018161,message-received|commit-started|commit-succeeded|completion-success,500,7,9093,9111,10223,,
webkit,26.5,500,6,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.662399999971967,message-received|commit-started|commit-succeeded|completion-success,500,6,9386,9408,10589,,
webkit,26.5,500,7,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.495899999979883,message-received|commit-started|commit-succeeded|completion-success,500,9,9520,9546,10871,,
webkit,26.5,500,8,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,9.695100000011735,message-received|commit-started|commit-succeeded|completion-success,500,7,9057,9074,10150,,
webkit,26.5,500,9,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.412800000049174,message-received|commit-started|commit-succeeded|completion-success,500,8,9422,9447,10765,,
webkit,26.5,500,10,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.8989000000292435,message-received|commit-started|commit-succeeded|completion-success,500,7,9544,9568,10754,,
webkit,26.5,1000,1,warmup,pass,1000,1000,0,true,true,0,[],true,true,true,true,,22.42429999995511,message-received|commit-started|commit-succeeded|completion-success,1000,12,19447,19468,21121,,
webkit,26.5,1000,1,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.862800000002608,message-received|commit-started|commit-succeeded|completion-success,1000,14,19096,19130,20716,,
webkit,26.5,1000,2,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.32520000007935,message-received|commit-started|commit-succeeded|completion-success,1000,11,18952,18977,20447,,
webkit,26.5,1000,3,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,10.895900000003166,message-received|commit-started|commit-succeeded|completion-success,1000,8,18908,18927,20341,,
webkit,26.5,1000,4,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,19.76300000003539,message-received|commit-started|commit-succeeded|completion-success,1000,12,19084,19117,20613,,
webkit,26.5,1000,5,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,23.516700000036508,message-received|commit-started|commit-succeeded|completion-success,1000,13,18882,18916,20668,,
webkit,26.5,1000,6,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.67229999997653,message-received|commit-started|commit-succeeded|completion-success,1000,11,19035,19056,20663,,
webkit,26.5,1000,7,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,19.207900000037625,message-received|commit-started|commit-succeeded|completion-success,1000,11,18864,18893,20500,,
webkit,26.5,1000,8,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,17.793499999912456,message-received|commit-started|commit-succeeded|completion-success,1000,10,18881,18900,20276,,
webkit,26.5,1000,9,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,20.176100000040606,message-received|commit-started|commit-succeeded|completion-success,1000,12,19001,19020,20526,,
webkit,26.5,1000,10,measurement,pass,1000,1000,0,true,true,0,[],true,true,true,true,,16.820300000021234,message-received|commit-started|commit-succeeded|completion-success,1000,11,19040,19068,20664,,
